,pclass,survived,sex,age,sibsp,parch,fare,embarked
0,3,-1,0,24.0,0,0,7.05,2
1,3,-1,0,25.0,0,0,7.05,2
2,3,-1,0,35.0,0,0,8.05,2
3,3,-1,0,18.0,0,0,8.3,2
4,3,-1,1,19.0,1,0,7.8542,2
5,3,-1,0,32.0,0,0,22.525,2
6,1,-1,0,24.0,0,1,247.5208,0
7,1,-1,1,50.0,0,1,247.5208,0
8,2,-1,0,1.0,2,1,39.0,2
9,2,-1,1,4.0,2,1,39.0,2
10,2,-1,1,12.0,2,1,39.0,2
11,2,-1,1,36.0,0,3,39.0,2
12,2,-1,0,34.0,0,0,13.0,2
13,2,-1,1,19.0,0,0,13.0,2
14,2,-1,0,23.0,0,0,13.0,2
15,2,-1,0,26.0,0,0,13.0,2
16,2,-1,0,42.0,0,0,13.0,2
17,2,-1,0,27.0,0,0,13.0,2
18,3,-1,0,1.0,1,2,20.575,2
19,1,-1,0,53.0,1,1,81.8583,2
20,1,-1,0,4.0,0,2,81.8583,2
21,1,-1,1,54.0,1,1,81.8583,2
22,3,-1,0,40.5,0,0,15.1,2
23,1,-1,1,24.0,3,2,263.0,2
24,1,-1,1,28.0,3,2,263.0,2
25,1,-1,1,23.0,3,2,263.0,2
26,1,-1,0,19.0,3,2,263.0,2
27,1,-1,0,64.0,1,4,263.0,2
28,1,-1,1,60.0,1,4,263.0,2
29,2,-1,0,24.0,2,0,73.5,2
30,2,-1,0,32.0,2,0,73.5,2
31,2,-1,0,21.0,2,0,73.5,2
32,2,-1,1,18.0,1,1,13.0,2
33,2,-1,1,20.0,2,1,23.0,2
34,2,-1,0,23.0,2,1,11.5,2
35,2,-1,0,36.0,0,0,13.0,2
36,2,-1,1,54.0,1,3,23.0,2
37,2,-1,0,1.0,0,2,37.0042,0
38,2,-1,0,31.0,1,1,37.0042,0
39,2,-1,1,24.0,1,1,37.0042,0
40,1,-1,0,62.0,0,0,26.55,2
41,1,-1,1,36.0,0,0,135.6333,0
42,1,1,1,29.0,0,0,211.3375,2
43,1,1,0,0.9167,1,2,151.55,2
44,1,0,1,2.0,1,2,151.55,2
45,1,0,0,30.0,1,2,151.55,2
46,1,0,1,25.0,1,2,151.55,2
47,1,1,0,48.0,0,0,26.55,2
48,1,1,1,63.0,1,0,77.9583,2
49,1,0,0,39.0,0,0,0.0,2
50,1,1,1,53.0,2,0,51.4792,2
51,1,0,0,71.0,0,0,49.5042,0
52,1,0,0,47.0,1,0,227.525,0
53,1,1,1,18.0,1,0,227.525,0
54,1,1,1,24.0,0,0,69.3,0
55,1,1,1,26.0,0,0,78.85,2
56,1,1,0,80.0,0,0,30.0,2
58,1,1,1,32.0,0,0,76.2917,0
59,1,0,0,36.0,0,0,75.2417,0
60,1,1,0,37.0,1,1,52.5542,2
61,1,1,1,47.0,1,1,52.5542,2
62,1,1,0,26.0,0,0,30.0,0
63,1,1,1,42.0,0,0,227.525,0
64,1,1,1,29.0,0,0,221.7792,2
65,1,0,0,25.0,0,0,26.0,0
